train_loss,train_acc,val_loss,val_acc
3.7395644187927246,0.2423333376646042,3.7096993923187256,0.15496735274791718
2.871281147003174,0.47708332538604736,1.5614933967590332,0.5625
2.617232322692871,0.5649166703224182,1.44562828540802,0.5938665866851807
2.4337520599365234,0.6334166526794434,1.2798372507095337,0.6426072716712952
2.3098576068878174,0.6875,1.3017921447753906,0.6451725959777832
2.2056992053985596,0.7282500267028809,1.3117625713348389,0.6387593150138855
2.111846446990967,0.7609166502952576,1.3533543348312378,0.6470382213592529
2.042849063873291,0.7855833172798157,1.286608099937439,0.6609141826629639
1.9946191310882568,0.8054999709129333,1.3211567401885986,0.6492537260055542
1.9644699096679688,0.8082500100135803,1.1833453178405762,0.6907649040222168
1.9112581014633179,0.8224166631698608,1.1953208446502686,0.6883162260055542
1.8889638185501099,0.8330000042915344,1.2945442199707031,0.6690765023231506
1.85825777053833,0.8335833549499512,1.3022183179855347,0.6691930890083313
1.8470633029937744,0.8363333344459534,1.2606571912765503,0.6770055890083313
1.822351098060608,0.8429999947547913,1.3486006259918213,0.6602145433425903
1.7814220190048218,0.8507500290870667,1.336850881576538,0.658815324306488
1.7781505584716797,0.8529999852180481,1.2503489255905151,0.6875
1.777201533317566,0.8569999933242798,1.3356127738952637,0.66895991563797
1.7508931159973145,0.8578333258628845,1.4413132667541504,0.644356369972229
1.7296591997146606,0.8646666407585144,1.3046172857284546,0.6795709133148193
1.718116044998169,0.8654166460037231,1.3137987852096558,0.666627824306488
1.7122137546539307,0.8614166378974915,1.2729295492172241,0.6878498196601868
1.6839087009429932,0.8743333220481873,1.3084781169891357,0.6859841346740723
1.686434030532837,0.8675833344459534,1.408034086227417,0.6682602763175964
1.6771583557128906,0.8697500228881836,1.3103355169296265,0.673041045665741
1.6656819581985474,0.871999979019165,1.4722442626953125,0.6519356369972229
1.6654123067855835,0.8681666851043701,1.3520407676696777,0.6821361780166626
1.6288493871688843,0.8709999918937683,1.45115327835083,0.6612640023231506
1.6254991292953491,0.8756666779518127,1.5129987001419067,0.6378265023231506
1.618398904800415,0.8800833225250244,1.4255536794662476,0.6498367786407471
